Temp_std_err,hws_std_err,relative_intensity_std_error_pl,relative_intensity_std_error_el,noise_sigma,save_folder,csv_name_pl,csv_name_el,date,test_id,fixed_parameters_dict,params_to_fit_init,min_bounds,max_bounds,num_iteration_max_likelihood,coeff_spread,nsteps,num_coords,max_abs_pos_exp,error_in_max_abs_pos,temperature_lifetimes_exp,relative_error_lifetime,mean,num_iteration,max_log_prob
10,0.005,0.05,0.001,0.001,/media/mohammed/Work/pl_temp_fit/fit_experimental_emcee_pl/fit_data/sensitivity/ITIC-300K-2_G0_650/3c77dd16-27b9-483d-bd7e-1e19bf767c26,ITIC-300K-2_G0_650.0nm_1450.0nm_12-07-2024-10h-44m_Exposure_3.0s_mod_split0_split500_mod_split0_split500.csv,,2024_11_11,3c77dd16-27b9-483d-bd7e-1e19bf767c26,"{'EX': {'numbrstates': 20, 'disorder_ext': 0.1}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.7, 'sigma': 0.04, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.159}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.001, 'Li': 0.03, 'Lo': 0.03, 'hO': 0.1}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.9, 'sigma': 0.1, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.2}, 'CT': {}, 'D': {}}",5,0.5,10000,32,1.77,0.01,"{'300': 3.2e-10, '260': 4.1e-10, '220': 5.1e-10, '180': 7.2e-10, '140': 8.9e-10, '100': 1.1e-09, '60': 1.1e-09}",0.05,"['1.739', '0.047', '0.094', '0.139', '0.181']",586,-531.5543127415623
10,0.005,0.05,0.001,0.001,/media/mohammed/Work/pl_temp_fit/fit_experimental_emcee_pl/fit_data/sensitivity/ITIC-300K-2_G0_650/c9317e59-0f30-4dd5-ab05-18b0611df334,ITIC-300K-2_G0_650.0nm_1450.0nm_12-07-2024-10h-44m_Exposure_3.0s_mod_split0_split500_mod_split0_split500.csv,,2024_11_11,c9317e59-0f30-4dd5-ab05-18b0611df334,"{'EX': {'numbrstates': 20, 'disorder_ext': 0.1}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.7, 'sigma': 0.04, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.159}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.001, 'Li': 0.03, 'Lo': 0.03, 'hO': 0.1}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.9, 'sigma': 0.1, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.2}, 'CT': {}, 'D': {}}",5,0.5,10000,32,1.77,0.005,"{'300': 3.2e-10, '260': 4.1e-10, '220': 5.1e-10, '180': 7.2e-10, '140': 8.9e-10, '100': 1.1e-09, '60': 1.1e-09}",0.05,"['1.681', '0.019', '0.097', '0.119', '0.179']",5226,-476.23711774773415
